Metric,Value
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.112211
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,17.886589
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,72
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,72
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79995
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000494154
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000054996
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000056459
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000054996
design_powergrid__voltage__worst,0.000054996
design_powergrid__voltage__worst__net:VPWR,1.79995
design_powergrid__drop__worst,0.000054996
design_powergrid__drop__worst__net:VPWR,0.0000494154
design_powergrid__voltage__worst__net:VGND,0.000054996
design_powergrid__drop__worst__net:VGND,0.000054996
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000055799999999999999380768771206628997560983407311141490936279296875
ir__drop__worst,0.0000494000000000000013644467500295576201096992008388042449951171875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
